assembly_bio_sample_accession	scientific_name	taxonomic_group	genus	family	order	class	taxon_rank	pacbio	nanopore	project	assembly_id_pri	assembly_id_alt	contig_n50_pri	contig_n50_alt	scaffold_n50_pri	scaffold_n50_alt	assembly_name_pri	assembly_name_alt	gcf_pri	gcf_alt	assembly_span_pri	assembly_span_alt	assembly_level_pri	assembly_level_alt	scientific_name_for_timetree
SAMEA114250307	Myotis mystacinus	mammal	Myotis	Vespertilionidae	Chiroptera	Mammalia	species	true	false	VGP	GCA_964094495.2	GCA_964195625.1	2201046	2254345	99827109	98765083	mMyoMys1.hap1.1	mMyoMys1.hap2.1	NA	NA	2081182114	1943289057	Chromosome	Chromosome	Myotis mystacinus
SAMEA114293681	Vipera berus	reptile	Vipera	Viperidae	Squamata	Lepidosauria	species	true	false	VGP	GCA_964194415.1	GCA_964194405.1	4688414	4761684	218396773	216582812	rVipBer3.hap1.1	rVipBer3.hap2.1	NA	NA	1694999861	1476666783	Chromosome	Scaffold	Vipera berus
SAMEA114294356	Calonectris borealis	bird	Calonectris	Procellariidae	Procellariiformes	Aves	species	true	false	VGP	GCA_964196065.2	GCA_964195595.2	4109000	4142416	86671854	86023716	bCalBor7.hap2.2	bCalBor7.hap1.2	NA	NA	1211470109	1366185058	Chromosome	Chromosome	Calonectris borealis
SAMEA114298637	Mustelus asterias	cartilaginous fish	Mustelus	Triakidae	Carcharhiniformes	Chondrichthyes	species	true	false	Other	GCA_964213995.1	GCA_964214025.1	1197343	1258905	109010392	109776729	sMusAst1.hap1.1	sMusAst1.hap2.1	NA	NA	3679774521	3476679425	Chromosome	Scaffold	Mustelus asterias
SAMEA114594453	Buteo buteo	bird	Buteo	Accipitridae	Accipitriformes	Aves	species	true	false	VGP	GCA_964188355.1	GCA_964188375.1	4249591	4094128	46961128	44778580	bButBut1.hap1.1	bButBut1.hap2.1	NA	NA	1303682556	1330554072	Chromosome	Scaffold	Buteo buteo
SAMEA114614248	Myotis nattereri	mammal	Myotis	Vespertilionidae	Chiroptera	Mammalia	species	true	false	VGP	GCA_964212035.1	GCA_964212025.1	2065327	2100158	101144875	97795217	mMyoNat1.hap1.1	mMyoNat1.hap2.1	NA	NA	2124004339	1930603033	Chromosome	Scaffold	Myotis nattereri
SAMEA114653171	Pipistrellus nathusii	mammal	Pipistrellus	Vespertilionidae	Chiroptera	Mammalia	species	true	false	Other	GCA_963693515.1	GCA_963693525.1	17739480	19092895	97242187	86738551	mPipNat.pri	mPipNat.alt	NA	NA	1804478338	1688812661	Chromosome	Chromosome	Pipistrellus nathusii
SAMEA115336769	Podarcis bocagei	reptile	Podarcis	Lacertidae	Squamata	Lepidosauria	species	true	false	VGP	GCA_964188305.1	GCA_964188325.1	2681335	2843701	94948854	94909467	rPodBoc1.hap1.1	rPodBoc1.hap2.1	NA	NA	1615189422	1473581329	Chromosome	Chromosome	Podarcis bocagei
SAMEA115336771	Podarcis erhardii	reptile	Podarcis	Lacertidae	Squamata	Lepidosauria	species	true	false	VGP	GCA_964252035.1	GCA_964251985.1	3226442	3027117	93518625	93568419	rPodErh1.hap1.1	rPodErh1.hap2.1	NA	NA	1495977497	1477748000	Chromosome	Scaffold	Podarcis erhardii
SAMEA115336774	Podarcis siculus	reptile	Podarcis	Lacertidae	Squamata	Lepidosauria	species	true	false	VGP	GCA_964188175.1	GCA_964188395.1	3060007	3344999	94541350	94302458	rPodSic1.hap1.1	rPodSic1.hap2.1	NA	NA	1571364497	1455930776	Chromosome	Scaffold	Podarcis siculus
SAMEA115336775	Podarcis melisellensis	reptile	Podarcis	Lacertidae	Squamata	Lepidosauria	species	true	false	VGP	GCA_964234825.1	GCA_964234715.1	3107267	3027832	92085810	91073809	rPodMel1.hap2.1	rPodMel1.hap1.1	NA	NA	1437044901	1574905529	Chromosome	Chromosome	Podarcis melisellensis
SAMEA115336776	Podarcis muralis	reptile	Podarcis	Lacertidae	Squamata	Lepidosauria	species	true	false	VGP	GCA_964188315.1	GCA_964188365.1	3229453	3330575	91987695	92433681	rPodMur119.hap1.1	rPodMur119.hap2.1	NA	NA	1522624192	1433931530	Chromosome	Scaffold	Podarcis muralis
SAMEA12110019	Podarcis cretensis	reptile	Podarcis	Lacertidae	Squamata	Lepidosauria	species	true	false	VGP	GCA_951804945.1	GCA_951804955.1	65743000	2337560	94621998	NA	rPodCre2.1	rPodCre2.1 alternate haplotype	NA	NA	1507609967	1372769884	Chromosome	Contig	Podarcis cretensis
SAMEA12219431	Conger conger	ray-finned fish	Conger	Congridae	Anguilliformes	Actinopteri	species	true	false	VGP	GCA_963514075.1	GCA_963514125.1	3090688	880281	64882367	NA	fConCon1.1	fConCon1.1 alternate haplotype	GCF_963514075.1	NA	1136402888	1078186129	Chromosome	Contig	Conger conger
SAMEA12219470	Microchirus variegatus	ray-finned fish	Microchirus	Soleidae	Pleuronectiformes	Actinopteri	species	true	false	VGP	GCA_963457635.1	GCA_963457655.1	2444644	789758	29835075	NA	fMicVar1.1	fMicVar1.1 alternate haplotype	NA	NA	724676885	697398261	Chromosome	Contig	Microchirus variegatus
SAMEA12219485	Symphodus melops	ray-finned fish	Symphodus	Labridae	Labriformes	Actinopteri	species	true	false	DTOL	GCA_947650265.1	GCA_947650305.1	1186940	325332	27641414	325332	fSymMel2.1	fSymMel2.1 alternate haplotype	NA	NA	636351954	605253123	Chromosome	Scaffold	Symphodus melops
SAMEA12595289	Silurus aristotelis	ray-finned fish	Silurus	Siluridae	Siluriformes	Actinopteri	species	true	false	VGP	GCA_946808225.1	GCA_946807865.1	4577990	174842	30578072	NA	fSilAri3.1	fSilAri3.1 alternate haplotype	NA	NA	800101988	713076206	Chromosome	Contig	Silurus aristotelis
SAMEA12790223	Myxine glutinosa	jawless fish	Myxine	Myxinidae	Myxiniformes	Myxini	species	true	false	VGP	GCA_964187855.1	GCA_964187825.1	739991	187206	192170830	187206	kmMyxGlut1.1	kmMyxGlut1.1 alternate haplotype	NA	NA	3057504053	2754027477	Chromosome	Scaffold	Myxine glutinosa
SAMEA12815432	Nannobrachium achirus	ray-finned fish	Nannobrachium	Myctophidae	Myctophiformes	Actinopteri	species	true	false	VGP	GCA_963921795.1	GCA_963921835.1	1305851	329860	66219085	335985	fNanAch1.1	fNanAch1.1 alternate haplotype	NA	NA	1658830932	1620255849	Chromosome	Scaffold	Nannobrachium achirus
SAMEA12815434	Protomyctophum bolini	ray-finned fish	Protomyctophum	Myctophidae	Myctophiformes	Actinopteri	species	true	false	VGP	GCA_963924005.1	GCA_963923985.1	1267060	228299	45973806	NA	fProBol1.1	fProBol1.1 alternate haplotype	NA	NA	1148206488	1340417512	Chromosome	Contig	Protomyctophum bolini
SAMEA12815435	Gymnoscopelus microlampas	ray-finned fish	Gymnoscopelus	Myctophidae	Myctophiformes	Actinopteri	species	true	false	VGP	GCA_963454915.1	GCA_963454925.1	1741000	369909	55298648	369909	fGymMic1.1	fGymMic1.1 alternate haplotype	NA	NA	1318637544	1278893940	Chromosome	Scaffold	Gymnoscopelus microlampas
SAMEA12815440	Protomyctophum parallelum	ray-finned fish	Protomyctophum	Myctophidae	Myctophiformes	Actinopteri	species	true	false	VGP	GCA_964188405.1	GCA_964188415.1	1024588	309295	53459825	43297454	fProPar1.1	fProPar1.1 alternate haplotype	NA	NA	1235309700	1013731500	Chromosome	Chromosome	Protomyctophum parallelum
SAMEA12815441	Notothenia rossii	ray-finned fish	Notothenia	Nototheniidae	Perciformes	Actinopteri	species	true	false	VGP	GCA_949606895.1	GCA_949606865.1	383412	198888	89684120	NA	fNotRos5.1	fNotRos5.1 alternate haplotype	NA	NA	1042884354	1005523998	Chromosome	Contig	Notothenia rossii
SAMEA12815492	Melanostigma gelatinosum	ray-finned fish	Melanostigma	Zoarcidae	Perciformes	Actinopteri	species	true	false	VGP	GCA_949748355.1	GCA_949748265.1	1934223	577593	27978033	577593	fMelGel1.1	fMelGel1.1 alternate haplotype	NA	NA	661958652	629798166	Chromosome	Scaffold	Melanostigma gelatinosum
SAMEA12815494	Gymnoscopelus braueri	ray-finned fish	Gymnoscopelus	Myctophidae	Myctophiformes	Actinopteri	species	true	false	VGP	GCA_963280865.1	GCA_963281105.1	901999	223926	55139090	224010	fGymBra2.1	fGymBra2.1 alternate haplotype	NA	NA	1367966668	1279160753	Chromosome	Scaffold	Gymnoscopelus braueri
SAMEA12832258	Vipera ursinii	reptile	Vipera	Viperidae	Squamata	Lepidosauria	species	true	false	VGP	GCA_947247035.1	GCA_947247025.1	2137891	216874	212821320	217576	rVipUrs1.1	rVipUrs1.1 alternate haplotype	NA	NA	1625006165	1180062022	Chromosome	Scaffold	Vipera ursinii
SAMEA12885580	Anaecypris hispanica	ray-finned fish	Anaecypris	Leuciscidae	Cypriniformes	Actinopteri	species	true	false	Other	GCA_964187705.1	GCA_964187695.1	4199513	5445377	38642748	38563620	fAnaHis.hap1	fAnaHis.hap2	NA	NA	983020590	984733391	Chromosome	Chromosome	Anaecypris hispanica
SAMEA12922160	Nesoenas mayeri	bird	Nesoenas	Columbidae	Columbiformes	Aves	species	true	false	VGP	GCA_963082525.1	GCA_963082445.1	4840756	1847256	78184682	NA	bNesMay2.1	bNesMay2.1 alternate haplotype	NA	NA	1183254979	867500292	Chromosome	Contig	Nesoenas mayeri
SAMEA13217622	Chionomys nivalis	mammal	Chionomys	Cricetidae	Rodentia	Mammalia	species	true	false	VGP	GCA_950005125.1	GCA_950005115.1	30960136	1147694	88844950	1147694	mChiNiv1.1	mChiNiv1.1 alternate haplotype	GCF_950005125.1	NA	2393390621	2022897225	Chromosome	Scaffold	Chionomys nivalis
SAMEA13300737	Alburnus alburnus	ray-finned fish	Alburnus	Leuciscidae	Cypriniformes	Actinopteri	species	true	false	Other	GCA_964188515.1	GCA_964188525.1	7572294	8875646	38752591	38024220	fAlbAlb.hap1	fAlbAlb.hap2	NA	NA	1005398986	986562608	Chromosome	Chromosome	Alburnus alburnus
SAMEA13335783	Barbus barbus	ray-finned fish	Barbus	Cyprinidae	Cypriniformes	Actinopteri	species	unknown	unknown	VGP	GCA_936440315.1	GCA_936446605.1	22843665	375494	31505967	376243	fBarBab1.1	fBarBab1.1 alternate haplotype	NA	NA	1584913304	1319370800	Chromosome	Scaffold	Barbus barbus
SAMEA13607423	Sylvilagus floridanus	mammal	Sylvilagus	Leporidae	Lagomorpha	Mammalia	species	true	false	Other	GCA_949820135.1	GCA_949820125.1	34907720	335654	129271642	335662	mSylFlo1.10	mSylFlo1.10 alternate haplotype	NA	NA	2848420111	2568618736	Chromosome	Scaffold	Sylvilagus floridanus
SAMEA13853390	Pleuronectes platessa	ray-finned fish	Pleuronectes	Pleuronectidae	Pleuronectiformes	Actinopteri	species	true	false	VGP	GCA_947347685.1	GCA_947347695.1	1477112	471168	26648505	471168	fPlePla1.1	fPlePla1.1 alternate haplotype	GCF_947347685.1	NA	687388084	613421917	Chromosome	Scaffold	Pleuronectes platessa
SAMEA13854149	Gobius niger	ray-finned fish	Gobius	Gobiidae	Gobiiformes	Actinopteri	species	true	false	VGP	GCA_951799975.1	GCA_951799965.1	3365000	584669	36708673	NA	fGobNig1.1	fGobNig1.1 alternate haplotype	NA	NA	870555617	838316121	Chromosome	Contig	Gobius niger
SAMEA13854416	Hyperoplus immaculatus	ray-finned fish	Hyperoplus	Ammodytidae	Uranoscopiformes	Actinopteri	species	true	false	VGP	GCA_949357725.1	GCA_949358355.1	1486508	427399	31412174	NA	fHypImm3.1	fHypImm3.1 alternate haplotype	NA	NA	797787753	763769615	Chromosome	Contig	Hyperoplus immaculatus
SAMEA13854528	Syngnathus acus	ray-finned fish	Syngnathus	Syngnathidae	Syngnathiformes	Actinopteri	species	true	false	VGP	GCA_948146105.1	GCA_948146095.1	4933801	106986	15280236	NA	fSynAcu2.1	fSynAcu2.1 alternate haplotype	NA	NA	359199823	334243819	Chromosome	Contig	Syngnathus acus
SAMEA14098186	Eptesicus nilssonii	mammal	Eptesicus	Vespertilionidae	Chiroptera	Mammalia	species	true	false	VGP	GCA_951640355.1	GCA_951640545.1	2474537	846662	98018206	846662	mEptNil1.1	mEptNil1.1 alternate haplotype	NA	NA	2064102006	1900360802	Chromosome	Scaffold	Eptesicus nilssonii
SAMEA14448128	Osmerus eperlanus	ray-finned fish	Osmerus	Osmeridae	Osmeriformes	Actinopteri	species	true	false	VGP	GCA_963692335.1	GCA_963692645.1	396237	109201	18633437	109274	fOsmEpe2.1	fOsmEpe2.1 alternate haplotype	GCF_963692335.1	NA	508721272	420609216	Chromosome	Scaffold	Osmerus eperlanus
SAMEA4675621	Parambassis ranga	ray-finned fish	Parambassis	Ambassidae	NA	Actinopteri	species	unknown	unknown	VGP	GCA_900634625.2	GCA_900651595.1	5080925	409592	22993012	417098	fParRan2.2	fParRan2.1 alternate haplotype	NA	NA	551012959	486545135	Chromosome	Scaffold	Parambassis ranga
SAMEA4760689	Erithacus rubecula	bird	Erithacus	Turdidae	Passeriformes	Aves	species	unknown	unknown	VGP	GCA_903797595.2	GCA_903797565.2	5585877	602370	60684490	603216	bEriRub2.2	bEriRub2.2 alternate haplotype	NA	NA	1086738418	912720829	Chromosome	Scaffold	Erithacus rubecula
SAMEA4872123	Scleropages formosus	ray-finned fish	Scleropages	Osteoglossidae	Osteoglossiformes	Actinopteri	species	unknown	unknown	VGP	GCA_900964775.1	GCA_900964985.2	9102216	659444	31084684	659444	fSclFor1.1	fSclFor1.1 alternate haplotype	GCF_900964775.1	NA	784546363	751313211	Chromosome	Scaffold	Scleropages formosus
SAMEA4872133	Myripristis murdjan	ray-finned fish	Myripristis	Holocentridae	Holocentriformes	Actinopteri	species	unknown	unknown	VGP	GCA_902150065.1	GCA_902148815.1	14475636	612296	34950760	612296	fMyrMur1.1	fMyrMur1.1 alternate haplotype	GCF_902150065.1	NA	835254674	819084930	Chromosome	Scaffold	Myripristis murdjan
SAMEA4966328	Sphaeramia orbicularis	ray-finned fish	Sphaeramia	Apogonidae	Kurtiformes	Actinopteri	species	unknown	unknown	VGP	GCA_902148855.1	GCA_902148825.1	2360121	246057	57165184	249014	fSphaOr1.1	fSphaOr1.1 alternate haplotype	GCF_902148855.1	NA	1342662642	1135435641	Chromosome	Scaffold	Sphaeramia orbicularis
SAMEA4966329	Salarias fasciatus	ray-finned fish	Salarias	Blenniidae	Blenniiformes	Actinopteri	species	unknown	unknown	VGP	GCA_902148845.1	GCA_902148835.1	2597836	421533	32729575	424591	fSalaFa1.1	fSalaFa1.1 alternate haplotype	GCF_902148845.1	NA	797490645	894675777	Chromosome	Scaffold	Salarias fasciatus
SAMEA4966390	Echeneis naucrates	ray-finned fish	Echeneis	Echeneidae	Carangiformes	Actinopteri	species	unknown	unknown	VGP	GCA_900963305.2	GCA_900963505.1	12371513	889301	23287306	915456	fEcheNa1.2	fEcheNa1.1 alternate haplotype	NA	NA	544212633	528272450	Chromosome	Scaffold	Echeneis naucrates
SAMEA5159473	Chanos chanos	ray-finned fish	Chanos	Chanidae	Gonorynchiformes	Actinopteri	species	unknown	unknown	VGP	GCA_902362185.1	GCA_902362175.1	23134051	508005	50300218	508005	fChaCha1.1	fChaCha1.1 alternate haplotype	GCF_902362185.1	NA	656912816	637484823	Chromosome	Scaffold	Chanos chanos
SAMEA5572864	Acipenser ruthenus	ray-finned fish	Acipenser	Acipenseridae	Acipenseriformes	Actinopteri	species	unknown	unknown	VGP	GCA_902713425.2	GCA_902713435.2	8776027	8948077	42723358	42286699	fAciRut3.2 maternal haplotype	fAciRut3.2 paternal haplotype	GCF_902713425.1	NA	1899794300	1882648115	Chromosome	Chromosome	Acipenser ruthenus
SAMEA5574046	Gadus morhua	ray-finned fish	Gadus	Gadidae	Gadiformes	Actinopteri	species	unknown	unknown	VGP	GCA_902167405.1	GCA_902167395.1	1015663	278226	28732775	278683	gadMor3.0	gadMor3.0 alternate haplotype	GCF_902167405.1	NA	669949713	584119146	Chromosome	Scaffold	Gadus morhua
SAMEA7521635	Rana temporaria	amphibian	Rana	Ranidae	Anura	Amphibia	species	unknown	unknown	VGP	GCA_905171775.1	GCA_905171725.1	6264810	547939	481763206	548370	aRanTem1.1	aRanTem1.1 alternate haplotype	GCF_905171775.1	NA	4111422596	3686210129	Chromosome	Scaffold	Rana temporaria
SAMEA7521636	Bufo bufo	amphibian	Bufo	Bufonidae	Anura	Amphibia	species	unknown	unknown	VGP	GCA_905171765.1	GCA_905171715.1	3959750	241528	635713434	243161	aBufBuf1.1	aBufBuf1.1 alternate haplotype	GCF_905171765.1	NA	5044744194	3744894388	Chromosome	Scaffold	Bufo bufo
SAMEA7522838	Pholis gunnellus	ray-finned fish	Pholis	Pholidae	Perciformes	Actinopteri	species	unknown	unknown	VGP	GCA_910591455.2	GCA_910591705.2	3519450	640680	25364761	640680	fPhoGun1.2	fPhoGun1.2 alternate haplotype	NA	NA	588680419	590303236	Chromosome	Scaffold	Pholis gunnellus
SAMEA7522844	Lipophrys pholis	ray-finned fish	Lipophrys	Blenniidae	Blenniiformes	Actinopteri	species	true	false	VGP	GCA_963383615.1	GCA_963383635.1	3299550	453920	31905247	454010	fLipPho2.1	fLipPho2.1 alternate haplotype	NA	NA	768226363	738669690	Chromosome	Scaffold	Lipophrys pholis
SAMEA7522994	Taurulus bubalis	ray-finned fish	Taurulus	Cottidae	Perciformes	Actinopteri	species	unknown	unknown	VGP	GCA_910589615.1	GCA_910589325.1	13037006	883972	29138660	NA	fTauBub2.1	fTauBub2.1 alternate haplotype	NA	NA	615137073	614755631	Chromosome	Contig	Taurulus bubalis
SAMEA7523520	Cervus elaphus	mammal	Cervus	Cervidae	Artiodactyla	Mammalia	species	unknown	unknown	VGP	GCA_910594005.1	GCA_910593805.1	68741660	2236403	83473711	2259288	mCerEla1.1	mCerEla1.1 alternate haplotype	GCF_910594005.1	NA	2886603524	2903978491	Chromosome	Scaffold	Cervus elaphus
SAMEA7524394	Caprimulgus europaeus	bird	Caprimulgus	Caprimulgidae	Caprimulgiformes	Aves	species	unknown	unknown	VGP	GCA_907165065.1	GCA_907165095.1	30622946	763177	82614289	763177	bCapEur3.1	bCapEur3.1 alternate haplotype	NA	NA	1177791212	1051868380	Chromosome	Scaffold	Caprimulgus europaeus
SAMEA7524396	Trachurus trachurus	ray-finned fish	Trachurus	Carangidae	Carangiformes	Actinopteri	species	unknown	unknown	VGP	GCA_905171665.2	GCA_905171655.2	6490592	1575933	35447499	1647680	fTraTra1.2	fTraTra1.2 alternate haplotype	NA	NA	801227381	797027743	Chromosome	Scaffold	Trachurus trachurus
SAMEA7524400	Meles meles	mammal	Meles	Mustelidae	Carnivora	Mammalia	species	unknown	unknown	VGP	GCA_922984935.2	GCA_922990625.1	75210923	65751393	132955750	118701898	mMelMel3.2 paternal haplotype	mMelMel3.1 maternal haplotype uncurated	NA	NA	2738678004	2692729365	Chromosome	Scaffold	Meles meles
SAMEA7702024	Apodemus sylvaticus	mammal	Apodemus	Muridae	Rodentia	Mammalia	species	true	false	VGP	GCA_947179515.1	GCA_947179525.1	4449850	424995	120938251	424995	mApoSyl1.1	mApoSyl1.1 alternate haplotype	GCF_947179515.1	NA	2889785202	2392986241	Chromosome	Scaffold	Apodemus sylvaticus
SAMEA7852930	Meleagris gallopavo	bird	Meleagris	Phasianidae	Galliformes	Aves	species	unknown	unknown	Other	GCA_943294205.1	GCA_943295565.1	19817032	9174806	71481950	71046337	MGAL_WU_HG_1.0_parent2	MGAL_WU_HG_1.0_parent1	NA	NA	1085657715	1051251094	Chromosome	Chromosome	Meleagris gallopavo
SAMEA8228692	Phalacrocorax carbo	bird	Phalacrocorax	Phalacrocoracidae	Suliformes	Aves	species	true	false	VGP	GCA_963921805.1	GCA_963921815.1	4631399	1260484	84621172	NA	bPhaCar2.1	bPhaCar2.1 alternate haplotype	GCF_963921805.1	NA	1283623959	1164897548	Chromosome	Contig	Phalacrocorax carbo
SAMEA8235650	Accipiter gentilis	bird	Accipiter	Accipitridae	Accipitriformes	Aves	species	true	false	VGP	GCA_929443795.2	GCA_929447715.1	17712854	704099	35025567	704099	bAccGen1.2	bAccGen1.1 alternate haplotype	NA	NA	1398011397	1112029929	Chromosome	Scaffold	Accipiter gentilis
SAMEA8592627	Telmatherina bonti	ray-finned fish	Telmatherina	Telmatherinidae	Atheriniformes	Actinopteri	species	unknown	unknown	VGP	GCA_933228915.1	GCA_933228925.1	1254875	323021	41523244	NA	fTelBon1.1	fTelBon1.1 alternate haplotype	NA	NA	986023149	781234592	Chromosome	Contig	Telmatherina bonti
SAMEA8654747	Thunnus maccoyii	ray-finned fish	Thunnus	Scombridae	Scombriformes	Actinopteri	species	unknown	unknown	VGP	GCA_910596095.1	GCA_910596085.1	26803536	2439055	33761101	NA	fThuMac1.1	fThuMac1.1 alternate haplotype	GCF_910596095.1	NA	782407452	782574410	Chromosome	Contig	Thunnus maccoyii
SAMEA8654749	Thunnus albacares	ray-finned fish	Thunnus	Scombridae	Scombriformes	Actinopteri	species	true	false	VGP	GCA_914725855.2	GCA_914744365.2	26795544	4118720	34622995	NA	fThuAlb1.2	fThuAlb1.2 alternate haplotype	NA	NA	792117861	786643039	Chromosome	Contig	Thunnus albacares
SAMEA8748805	Nansenia antarctica	ray-finned fish	Nansenia	Microstomatidae	Argentiniformes	Actinopteri	species	true	false	VGP	GCA_963989245.1	GCA_963989255.1	750607	237178	66745282	238266	fNanAnt1.1	fNanAnt1.1 alternate haplotype	NA	NA	1085777971	1005279045	Chromosome	Scaffold	Nansenia antarctica
SAMEA8748806	Notolepis coatsorum	ray-finned fish	Notolepis	Paralepididae	Aulopiformes	Actinopteri	species	true	false	VGP	GCA_963971535.1	GCA_963971485.1	444000	146774	155911686	146774	fNotCoa1.1	fNotCoa1.1 alternate haplotype	NA	NA	3427786127	3043131496	Chromosome	Scaffold	Notolepis coatsorum
SAMEA8748807	Electrona antarctica	ray-finned fish	Electrona	Myctophidae	Myctophiformes	Actinopteri	species	true	false	VGP	GCA_951216825.1	GCA_951214905.1	1002537	245514	53633514	NA	fEleAnt2.1	fEleAnt2.1 alternate haplotype	NA	NA	1427425719	1301265211	Chromosome	Contig	Electrona antarctica
SAMEA8748812	Borostomias antarcticus	ray-finned fish	Borostomias	Stomiidae	Stomiiformes	Actinopteri	species	true	false	VGP	GCA_949987555.1	GCA_949987545.1	959230	404732	27266006	NA	fBorAnt1.1	fBorAnt1.1 alternate haplotype	NA	NA	909231230	788134964	Chromosome	Contig	Borostomias antarcticus
SAMEA8800229	Orcinus orca	mammal	Orcinus	Delphinidae	Artiodactyla	Mammalia	species	unknown	unknown	VGP	GCA_937001465.1	GCA_937001455.1	45583382	374481	114219206	NA	mOrcOrc1.1	mOrcOrc1.1 alternate haplotype	GCF_937001465.1	NA	2647335075	1882900201	Chromosome	Contig	Orcinus orca
SAMEA9359753	Fringilla coelebs	bird	Fringilla	Fringillidae	Passeriformes	Aves	species	true	false	VGP	GCA_963513975.1	GCA_963513985.1	3733973	1659618	73246393	NA	bFriCoe1.1	bFriCoe1.1 alternate haplotype	NA	NA	1209226962	1168325350	Chromosome	Contig	Fringilla coelebs
SAMEA9654429	Tetrao urogallus	bird	Tetrao	Phasianidae	Galliformes	Aves	species	true	false	VGP	GCA_951394365.1	GCA_951394355.1	1909808	341259	71401156	NA	bTetUro1.1	bTetUro1.1 alternate haplotype	NA	NA	1013167347	853786400	Chromosome	Contig	Tetrao urogallus
SAMEA9679959	Cinclus cinclus	bird	Cinclus	Cinclidae	Passeriformes	Aves	species	true	false	VGP	GCA_963662255.1	GCA_963662415.1	3563180	431284	74357285	NA	bCinCin1.1	bCinCin1.1 alternate haplotype	GCF_963662255.1	NA	1170837027	1055621819	Chromosome	Contig	Cinclus cinclus
SAMEA9921455	Myotis daubentonii	mammal	Myotis	Vespertilionidae	Chiroptera	Mammalia	species	true	false	VGP	GCA_963259705.1	GCA_963242275.1	3062752	975345	102234773	NA	mMyoDau2.1	mMyoDau2.1 alternate haplotype	GCF_963259705.1	NA	2127807131	1938252784	Chromosome	Contig	Myotis daubentonii
SAMEA9921456	Pipistrellus pygmaeus	mammal	Pipistrellus	Vespertilionidae	Chiroptera	Mammalia	species	true	false	VGP	GCA_949987585.1	GCA_949987765.1	54047000	1550995	89507134	1550995	mPipPyg2.1	mPipPyg2.1 alternate haplotype	NA	NA	1895108501	1764844953	Chromosome	Scaffold	Pipistrellus pygmaeus
SAMEA994724	Pipistrellus pipistrellus	mammal	Pipistrellus	Vespertilionidae	Chiroptera	Mammalia	species	unknown	unknown	VGP	GCA_903992545.1	GCA_903992515.1	4446752	229984	94929986	230226	mPipPip1.1	mPipPip1.1 alternate haplotype	NA	NA	1763422308	1579816813	Chromosome	Scaffold	Pipistrellus pipistrellus
SAMEA994726	Sciurus carolinensis	mammal	Sciurus	Sciuridae	Rodentia	Mammalia	species	unknown	unknown	VGP	GCA_902686445.2	GCA_902685475.1	13975867	492513	148229995	492513	mSciCar1.2	mSciCar1.1 alternate haplotype	GCF_902686445.1	NA	2815397268	2057949030	Chromosome	Scaffold	Sciurus carolinensis
SAMEA994730	Scyliorhinus canicula	cartilaginous fish	Scyliorhinus	Scyliorhinidae	Carcharhiniformes	Chondrichthyes	species	unknown	unknown	VGP	GCA_902713615.2	GCA_902713625.2	1862211	230697	198790641	230697	sScyCan1.2	sScyCan1.2 alternate haplotype	NA	NA	4220389930	3867000599	Chromosome	Scaffold	Scyliorhinus canicula
SAMEA994735	Streptopelia turtur	bird	Streptopelia	Columbidae	Columbiformes	Aves	species	unknown	unknown	VGP	GCA_901699155.2	GCA_901699165.2	3790373	776317	81365208	NA	bStrTur1.2	bStrTur1.2 alternate haplotype	NA	NA	1178816852	1035330184	Chromosome	Contig	Streptopelia turtur
SAMEA994740	Arvicola amphibius	mammal	Arvicola	Cricetidae	Rodentia	Mammalia	species	unknown	unknown	VGP	GCA_903992535.2	GCA_903992525.1	5392280	147871	158924400	147918	mArvAmp1.2	mArvAmp1.1 alternate haplotype	GCF_903992535.2	NA	2297766297	1764008884	Chromosome	Scaffold	Arvicola amphibius
SAMN02265252	Calypte anna	bird	Calypte	Trochilidae	Apodiformes	Aves	species	true	false	VGP	GCA_003957555.2	GCA_003957575.1	14522327	1463522	74081004	1463522	bCalAnn1_v1.p	bCalAnn1_v1.h	GCF_003957555.1	NA	1059687259	952083371	Chromosome	Scaffold	Calypte anna
SAMN02981239	Taeniopygia guttata	bird	Taeniopygia	Estrildidae	Passeriformes	Aves	species	true	false	VGP	GCA_003957565.4	GCA_003957525.2	8964551	3559028	70982421	3559028	bTaeGut1.4.pri	bTaeGut1.4.alt	GCF_003957565.2	NA	1056254409	887567949	Chromosome	Scaffold	Taeniopygia guttata
SAMN03283347	Homo sapiens	mammal	Homo	Hominidae	Primates	Mammalia	species	true	true	Other	GCA_018852615.3	GCA_018852605.3	154341397	146786823	154341397	146786823	Q100 hg002v1.0.1.mat	Q100 hg002v1.0.1.pat	NA	NA	3051512984	2947895164	Chromosome	Chromosome	Homo sapiens
SAMN03496275	Gopherus evgoodei	reptile	Gopherus	Testudinidae	Testudines	NA	species	true	false	VGP	GCA_007399415.1	GCA_007399395.1	13026736	655454	147425149	NA	rGopEvg1_v1.p	rGopEvg1_v1.alt	GCF_007399415.2	NA	2298547364	1961129424	Chromosome	Contig	Gopherus evgoodei
SAMN04003007	Gorilla gorilla gorilla	mammal	Gorilla	Hominidae	Primates	Mammalia	subspecies	true	true	Other	GCA_028885475.2	GCA_028885495.2	150804130	151425642	150804130	151562521	NHGRI_mGorGor1-v2.0_pat	NHGRI_mGorGor1-v2.0_mat	NA	NA	3351856267	3554709948	Complete Genome	Chromosome	Gorilla gorilla gorilla
