scientific_name	assembly_id	gcf	assembly_category	assembly_bio_sample_accession	assembly_name	contig_n50	scaffold_n50	last_updated	taxon_id	taxon_rank	assembly_id_no_version	version	synonym	tolid_prefix	common_name	subspecies	species	genus	family	order	class	qv_score	assigned_percent	assembly_span	ungapped_span	contig_l50	scaffold_l50	contig_count	scaffold_count	chromosome_count	sequence_count	gc_percent	n_percent	source_accession	bioproject	assembly_level	sample_sex	refseq_category	submitter	gene_count	protein_count	busco_completeness	busco_lineage	busco_string	project	assembly_bio_project_accession	assembly_sequencing_tech	pacbio	nanopore	taxonomic_group
Pleuronectes platessa	GCA_947347685.1	GCF_947347685.1	pri	SAMEA13853390	fPlePla1.1	1477112	26648505	2022-11-29	8262	species	GCA_947347685	1	[""Pleuronectes platessa""]	[""fPlePla""]	[""English plaice""]	NA	Pleuronectes platessa	Pleuronectes	Pleuronectidae	Pleuronectiformes	Actinopteri	NA	NA	687388084	687173684	118	12	1427	355	24	355	42.5	0.03	NA	PRJEB40665;PRJEB43510;PRJEB56054;PRJEB57577;PRJNA489243;PRJNA533106	Chromosome	NOT COLLECTED	representative genome	WELLCOME SANGER INSTITUTE	37917	22945	97.9	actinopterygii_odb10	C:97.9%[S:97.0%,D:0.9%],F:0.5%,M:1.6%,n:3640	VGP	PRJEB57577	PacBio,Arima2	true	false	bony fish
Pleuronectes platessa	GCA_947347695.1	NA	alt	SAMEA13853390	fPlePla1.1 alternate haplotype	471168	471168	2022-11-27	8262	species	GCA_947347695	1	NA	NA	NA	NA	Pleuronectes platessa	Pleuronectes	Pleuronectidae	Pleuronectiformes	Actinopteri	NA	NA	613421917	613421317	338	338	3222	3219	NA	3219	42.5	NA	NA	PRJEB40665;PRJEB43510;PRJEB56054;PRJEB57576;PRJNA489243;PRJNA533106	Scaffold	NOT COLLECTED	NA	WELLCOME SANGER INSTITUTE	NA	NA	NA	NA	NA	VGP	PRJEB57576	PacBio,Arima2	true	false	bony fish
Gobius niger	GCA_951799975.1	NA	pri	SAMEA13854149	fGobNig1.1	3365000	36708673	2023-05-27	85417	species	GCA_951799975	1	[""Gobius longiradiatus""]	[""fGobNig""]	[""Black goby""]	NA	Gobius niger	Gobius	Gobiidae	Gobiiformes	Actinopteri	NA	98.25	870555617	870428417	81	10	933	297	24	297	42.11	0.01	NA	PRJEB40665;PRJEB43510;PRJEB61917;PRJEB62588;PRJNA489243;PRJNA533106	Chromosome	NOT COLLECTED	representative genome	WELLCOME SANGER INSTITUTE	NA	NA	97.2	actinopterygii_odb10	C:97.2%[S:96.4%,D:0.8%],F:0.6%,M:2.2%,n:3640	VGP	PRJEB62588	PacBio,Arima2	true	false	bony fish
Gobius niger	GCA_951799965.1	NA	alt	SAMEA13854149	fGobNig1.1 alternate haplotype	584669	NA	2023-05-27	85417	species	GCA_951799965	1	NA	NA	NA	NA	Gobius niger	Gobius	Gobiidae	Gobiiformes	Actinopteri	NA	NA	838316121	838316121	416	NA	3523	NA	NA	3523	42	NA	NA	PRJEB40665;PRJEB43510;PRJEB61917;PRJEB62587;PRJNA489243;PRJNA533106	Contig	NOT COLLECTED	NA	WELLCOME SANGER INSTITUTE	NA	NA	NA	NA	NA	VGP	PRJEB62587	PacBio,Arima2	true	false	bony fish
Hyperoplus immaculatus	GCA_949357725.1	NA	pri	SAMEA13854416	fHypImm3.1	1486508	31412174	2023-04-08	1484357	species	GCA_949357725	1	[""Hyperoplus immaculatus""]	[""fHypImm""]	[""greater sand-eel""]	NA	Hyperoplus immaculatus	Hyperoplus	Ammodytidae	Uranoscopiformes	Actinopteri	NA	91.28	797787753	797550153	160	12	2755	1567	24	1567	41.1	0.03	NA	PRJEB40665;PRJEB43510;PRJEB58244;PRJEB60328;PRJNA489243;PRJNA533106	Chromosome	NOT COLLECTED	representative genome	WELLCOME SANGER INSTITUTE	NA	NA	97.6	actinopterygii_odb10	C:97.6%[S:96.8%,D:0.8%],F:0.4%,M:2.0%,n:3640	VGP	PRJEB60328	PacBio,Arima2	true	false	bony fish
Hyperoplus immaculatus	GCA_949358355.1	NA	alt	SAMEA13854416	fHypImm3.1 alternate haplotype	427399	NA	2023-04-09	1484357	species	GCA_949358355	1	[""Ammodytes immaculatus""]	NA	NA	NA	Hyperoplus immaculatus	Hyperoplus	Ammodytidae	Uranoscopiformes	Actinopteri	NA	NA	763769615	763769615	509	NA	4952	NA	NA	4952	41	NA	NA	PRJEB40665;PRJEB43510;PRJEB58244;PRJEB60327;PRJNA489243;PRJNA533106	Contig	NOT COLLECTED	NA	WELLCOME SANGER INSTITUTE	NA	NA	NA	NA	NA	VGP	PRJEB60327	PacBio,Arima2	true	false	bony fish
Syngnathus acus	GCA_948146095.1	NA	alt	SAMEA13854528	fSynAcu2.1 alternate haplotype	106986	NA	2023-01-18	161584	species	GCA_948146095	1	[""Syngnathus rubescens""]	NA	NA	NA	Syngnathus acus	Syngnathus	Syngnathidae	Syngnathiformes	Actinopteri	NA	NA	334243819	334243819	859	NA	4533	NA	NA	4533	44	NA	NA	PRJEB32743;PRJEB40665;PRJEB43510;PRJEB58843;PRJNA489243;PRJNA533106	Contig	NOT COLLECTED	NA	WELLCOME SANGER INSTITUTE	NA	NA	NA	NA	NA	VGP	PRJEB58843	PacBio,Illumina,Arima2	true	false	bony fish
Syngnathus acus	GCA_948146105.1	NA	pri	SAMEA13854528	fSynAcu2.1	4933801	15280236	2023-01-18	161584	species	GCA_948146105	1	[""Syngnathus acus""]	[""fSynAcu""]	[""greater pipefish""]	NA	Syngnathus acus	Syngnathus	Syngnathidae	Syngnathiformes	Actinopteri	NA	92.3	359199823	359180823	29	9	345	250	22	250	44.34	0.01	NA	PRJEB32743;PRJEB40665;PRJEB43510;PRJEB58844;PRJNA489243;PRJNA533106	Chromosome	NOT COLLECTED	NA	WELLCOME SANGER INSTITUTE	NA	NA	94.9	actinopterygii_odb10	C:94.9%[S:94.0%,D:0.8%],F:1.3%,M:3.8%,n:3640	VGP	PRJEB58844	PacBio,Illumina,Arima2	true	false	bony fish
Eptesicus nilssonii	GCA_951640545.1	NA	alt	SAMEA14098186	mEptNil1.1 alternate haplotype	846662	846662	2023-05-18	59451	species	GCA_951640545	1	[""Vespertilio nilssonii""]	NA	NA	NA	Eptesicus nilssonii	Eptesicus	Vespertilionidae	Chiroptera	Mammalia	NA	NA	1900360802	1900360202	691	691	4899	4896	NA	4896	43.5	NA	NA	PRJEB40665;PRJEB43510;PRJEB61925;PRJEB62201;PRJNA489243;PRJNA489245;PRJNA533106	Scaffold	female	NA	WELLCOME SANGER INSTITUTE	NA	NA	NA	NA	NA	VGP	PRJEB62201	PacBio,Arima2	true	false	mammal
Eptesicus nilssonii	GCA_951640355.1	NA	pri	SAMEA14098186	mEptNil1.1	2474537	98018206	2023-05-18	59451	species	GCA_951640355	1	[""Eptesicus nilssonii""]	[""mEptNil""]	[""northern bat""]	NA	Eptesicus nilssonii	Eptesicus	Vespertilionidae	Chiroptera	Mammalia	NA	98.86	2064102006	2063817406	256	10	1629	206	26	206	43.33	0.01	NA	PRJEB40665;PRJEB43510;PRJEB61925;PRJEB62200;PRJNA489243;PRJNA489245;PRJNA533106	Chromosome	female	NA	WELLCOME SANGER INSTITUTE	NA	NA	95.6	laurasiatheria_odb10	C:95.6%[S:93.9%,D:1.7%],F:0.8%,M:3.7%,n:12234	VGP	PRJEB62200	PacBio,Arima2	true	false	mammal
Osmerus eperlanus	GCA_963692335.1	GCF_963692335.1	pri	SAMEA14448128	fOsmEpe2.1	396237	18633437	2023-12-11	29151	species	GCA_963692335	1	[""Salmo eperlanus""]	NA	NA	NA	Osmerus eperlanus	Osmerus	Osmeridae	Osmeriformes	Actinopteri	NA	NA	508721272	508228872	272	12	3469	1007	28	1007	45.5	NA	NA	PRJEB40665;PRJEB43510;PRJEB64080;PRJEB70540;PRJNA489243;PRJNA533106	Chromosome	NOT COLLECTED	representative genome	WELLCOME SANGER INSTITUTE	34446	23565	NA	NA	NA	VGP	PRJEB70540	PacBio,Arima2	true	false	bony fish
Osmerus eperlanus	GCA_963692645.1	NA	alt	SAMEA14448128	fOsmEpe2.1 alternate haplotype	109201	109274	2023-12-07	29151	species	GCA_963692645	1	[""Salmo eperlanus""]	NA	NA	NA	Osmerus eperlanus	Osmerus	Osmeridae	Osmeriformes	Actinopteri	NA	NA	420609216	420608616	943	943	5998	5995	NA	5995	45	NA	NA	PRJEB40665;PRJEB43510;PRJEB64080;PRJEB70541;PRJNA489243;PRJNA533106	Scaffold	NOT COLLECTED	NA	WELLCOME SANGER INSTITUTE	NA	NA	NA	NA	NA	VGP	PRJEB70541	PacBio,Arima2	true	false	bony fish
Parambassis ranga	GCA_900634625.2	NA	pri	SAMEA4675621	fParRan2.2	5080925	22993012	2020-07-31	210632	species	GCA_900634625	2	[""Pseudambassis ranga""]	NA	NA	NA	Parambassis ranga	Parambassis	Ambassidae	NA	Actinopteri	NA	93.22	551012959	540451419	31	10	1677	156	22	156	42.5	NA	NA	PRJEB30257;PRJEB30286;PRJNA489243;PRJNA533106	Chromosome	NA	representative genome	SC	NA	NA	NA	NA	NA	VGP	PRJEB30257	NA	unknown	unknown	bony fish
Parambassis ranga	GCA_900651595.1	NA	alt	SAMEA4675621	fParRan2.1 alternate haplotype	409592	417098	2019-02-12	210632	species	GCA_900651595	1	[""Ambassis barlovi""]	[""fParRan""]	[""Indian glassy fish""]	NA	Parambassis ranga	Parambassis	Ambassidae	NA	Actinopteri	NA	NA	486545135	484488424	316	306	2472	2242	NA	2242	42.28	0.42	NA	PRJEB30258;PRJEB30286;PRJNA489243;PRJNA533106	Scaffold	NA	NA	SC	NA	NA	90.8	actinopterygii_odb9	C:90.8%[S:87.0%,D:3.8%],F:2.2%,M:7.0%,n:4584	VGP	PRJEB30258	NA	unknown	unknown	bony fish
Erithacus rubecula	GCA_903797595.2	NA	pri	SAMEA4760689	bEriRub2.2	5585877	60684490	2021-05-03	37610	species	GCA_903797595	2	[""Erithacus rubecula""]	[""bEriRub""]	[""European Robin""]	NA	Erithacus rubecula	Erithacus	Turdidae	Passeriformes	Aves	NA	91.7	1086738418	1086450774	52	6	2109	1119	33	1119	42.11	0.03	NA	PRJEB33226;PRJEB38658;PRJEB38659;PRJEB40665;PRJEB43510;PRJNA489243;PRJNA489244;PRJNA533106	Chromosome	female	representative genome	Wellcome Sanger Institute	NA	NA	95.5	passeriformes_odb10	C:95.5%[S:95.0%,D:0.4%],F:0.7%,M:3.9%,n:10844	VGP	PRJEB38658	NA	unknown	unknown	bird
Erithacus rubecula	GCA_903797565.2	NA	alt	SAMEA4760689	bEriRub2.2 alternate haplotype	602370	603216	2021-03-21	37610	species	GCA_903797565	2	[""Motacilla rubecula""]	NA	NA	NA	Erithacus rubecula	Erithacus	Turdidae	Passeriformes	Aves	NA	NA	912720829	912716229	405	405	3686	3668	NA	3668	41.5	NA	NA	PRJEB33226;PRJEB38657;PRJEB38659;PRJEB40665;PRJEB43510;PRJNA489243;PRJNA489244;PRJNA533106	Scaffold	female	NA	Wellcome Sanger Institute	NA	NA	NA	NA	NA	VGP	PRJEB38657	NA	unknown	unknown	bird
Scleropages formosus	GCA_900964775.1	GCF_900964775.1	pri	SAMEA4872123	fSclFor1.1	9102216	31084684	2019-04-11	113540	species	GCA_900964775	1	[""Scleropages aureus""]	[""fSclFor""]	[""Asian bonytongue""]	NA	Scleropages formosus	Scleropages	Osteoglossidae	Osteoglossiformes	Actinopteri	NA	NA	784546363	784505003	31	11	216	71	25	71	44.16	0	NA	PRJEB31995;PRJEB31997;PRJNA489243;PRJNA533106	Chromosome	NA	representative genome	SC	27389	23537	93	actinopterygii_odb10	C:93.0%[S:89.2%,D:3.8%],F:1.9%,M:5.1%,n:3640	VGP	PRJEB31995	NA	unknown	unknown	bony fish
Scleropages formosus	GCA_900964985.2	NA	alt	SAMEA4872123	fSclFor1.1 alternate haplotype	659444	659444	2019-04-11	113540	species	GCA_900964985	2	[""Osteoglossum formosum""]	NA	NA	NA	Scleropages formosus	Scleropages	Osteoglossidae	Osteoglossiformes	Actinopteri	NA	NA	751313211	751313186	307	307	2007	2006	NA	2006	44	NA	NA	PRJEB31996;PRJEB31997;PRJNA489243;PRJNA533106	Scaffold	NA	NA	SC	NA	NA	NA	NA	NA	VGP	PRJEB31996	NA	unknown	unknown	bony fish
Myripristis murdjan	GCA_902150065.1	GCF_902150065.1	pri	SAMEA4872133	fMyrMur1.1	14475636	34950760	2019-07-03	586833	species	GCA_902150065	1	[""Myripristis intermedius""]	[""fMyrMur""]	[""pinecone soldierfish""]	NA	Myripristis murdjan	Myripristis	Holocentridae	Holocentriformes	Actinopteri	NA	NA	835254674	833388842	20	11	340	87	24	87	41.74	0.22	NA	PRJEB33188;PRJEB33189;PRJNA489243;PRJNA533106	Chromosome	NA	representative genome	SC	26968	23439	98.5	actinopterygii_odb10	C:98.5%[S:97.4%,D:1.1%],F:0.5%,M:1.0%,n:3640	VGP	PRJEB33188	NA	unknown	unknown	bony fish
Myripristis murdjan	GCA_902148815.1	NA	alt	SAMEA4872133	fMyrMur1.1 alternate haplotype	612296	612296	2019-07-03	586833	species	GCA_902148815	1	[""Myripristis intermedius""]	[""fMyrMur""]	[""pinecone soldierfish""]	NA	Myripristis murdjan	Myripristis	Holocentridae	Holocentriformes	Actinopteri	NA	NA	819084930	819084242	354	353	2199	2193	NA	2193	41.81	0	NA	PRJEB33187;PRJEB33189;PRJNA489243;PRJNA533106	Scaffold	NA	NA	SC	NA	NA	94.7	actinopterygii_odb9	C:94.7%[S:91.5%,D:3.2%],F:2.1%,M:3.1%,n:4584	VGP	PRJEB33187	NA	unknown	unknown	bony fish
Sphaeramia orbicularis	GCA_902148855.1	GCF_902148855.1	pri	SAMEA4966328	fSphaOr1.1	2360121	57165184	2019-07-03	375764	species	GCA_902148855	1	[""Apogon nigromaculatus""]	[""fSphOrb""]	[""orbiculate cardinalfish""]	NA	Sphaeramia orbicularis	Sphaeramia	Apogonidae	Kurtiformes	Actinopteri	NA	NA	1342662642	1339096568	148	11	2183	340	23	340	37.9	0.27	NA	PRJEB33177;PRJEB33178;PRJNA489243;PRJNA533106	Chromosome	NA	representative genome	SC	29725	24116	96.4	actinopterygii_odb9	C:96.4%[S:93.5%,D:3.0%],F:1.3%,M:2.2%,n:4584	VGP	PRJEB33177	NA	unknown	unknown	bony fish
Sphaeramia orbicularis	GCA_902148825.1	NA	alt	SAMEA4966328	fSphaOr1.1 alternate haplotype	246057	249014	2019-07-03	375764	species	GCA_902148825	1	[""Apogon nigromaculatus""]	[""fSphOrb""]	[""orbiculate cardinalfish""]	NA	Sphaeramia orbicularis	Sphaeramia	Apogonidae	Kurtiformes	Actinopteri	NA	NA	1135435641	1134805338	1286	1274	7038	6896	NA	6896	37.73	0.06	NA	PRJEB33176;PRJEB33178;PRJNA489243;PRJNA533106	Scaffold	NA	NA	SC	NA	NA	84.4	actinopterygii_odb9	C:84.4%[S:81.5%,D:2.9%],F:3.9%,M:11.7%,n:4584	VGP	PRJEB33176	NA	unknown	unknown	bony fish
Salarias fasciatus	GCA_902148845.1	GCF_902148845.1	pri	SAMEA4966329	fSalaFa1.1	2597836	32729575	2019-07-03	181472	species	GCA_902148845	1	[""Salarias griseus""]	[""fSalFas""]	[""Jewelled blenny""]	NA	Salarias fasciatus	Salarias	Blenniidae	Blenniiformes	Actinopteri	NA	NA	797490645	787042748	86	11	804	202	22	202	43.76	1.31	NA	PRJEB33184;PRJEB33185;PRJNA489243;PRJNA533106	Chromosome	NA	representative genome	SC	29119	24392	96.6	actinopterygii_odb10	C:96.6%[S:92.8%,D:3.8%],F:0.9%,M:2.4%,n:3640	VGP	PRJEB33184	NA	unknown	unknown	bony fish
Salarias fasciatus	GCA_902148835.1	NA	alt	SAMEA4966329	fSalaFa1.1 alternate haplotype	421533	424591	2019-07-03	181472	species	GCA_902148835	1	[""Salarias griseus""]	[""fSalFas""]	[""Jewelled blenny""]	NA	Salarias fasciatus	Salarias	Blenniidae	Blenniiformes	Actinopteri	NA	NA	894675777	891403256	610	606	4525	4516	NA	4516	44.49	0.37	NA	PRJEB33183;PRJEB33185;PRJNA489243;PRJNA533106	Scaffold	NA	NA	SC	NA	NA	92	actinopterygii_odb9	C:92.0%[S:84.1%,D:7.9%],F:2.4%,M:5.6%,n:4584	VGP	PRJEB33183	NA	unknown	unknown	bony fish
Echeneis naucrates	GCA_900963305.2	NA	pri	SAMEA4966390	fEcheNa1.2	12371513	23287306	2021-04-24	173247	species	GCA_900963305	2	[""Echeneis neucrates""]	[""fEchNau""]	[""Live sharksucker""]	NA	Echeneis naucrates	Echeneis	Echeneidae	Carangiformes	Actinopteri	NA	99.26	544212633	543613277	17	11	177	37	24	37	41.38	0.11	NA	PRJEB31992;PRJEB31994;PRJNA489243;PRJNA533106	Chromosome	NA	representative genome	Wellcome Sanger Institute	NA	NA	98.7	actinopterygii_odb10	C:98.7%[S:97.7%,D:0.9%],F:0.2%,M:1.1%,n:3640	VGP	PRJEB31992	NA	unknown	unknown	bony fish
Echeneis naucrates	GCA_900963505.1	NA	alt	SAMEA4966390	fEcheNa1.1 alternate haplotype	889301	915456	2019-04-11	173247	species	GCA_900963505	1	[""Echeneis neucrates""]	[""fEchNau""]	[""Live sharksucker""]	NA	Echeneis naucrates	Echeneis	Echeneidae	Carangiformes	Actinopteri	NA	NA	528272450	528047799	158	149	1424	1405	NA	1405	41.42	0.04	NA	PRJEB31993;PRJEB31994;PRJNA489243;PRJNA533106	Scaffold	NA	NA	SC	NA	NA	95	actinopterygii_odb9	C:95.0%[S:92.2%,D:2.8%],F:1.9%,M:3.1%,n:4584	VGP	PRJEB31993	NA	unknown	unknown	bony fish
Chanos chanos	GCA_902362185.1	GCF_902362185.1	pri	SAMEA5159473	fChaCha1.1	23134051	50300218	2019-08-14	29144	species	GCA_902362185	1	[""Lutodira elongata""]	[""fChaCha""]	[""milkfish""]	NA	Chanos chanos	Chanos	Chanidae	Gonorynchiformes	Actinopteri	NA	NA	656912816	652682485	11	6	141	30	16	30	41.51	0	NA	PRJEB33882;PRJEB33883;PRJNA489243;PRJNA533106	Chromosome	NA	representative genome	SC	26078	23173	93.8	actinopterygii_odb10	C:93.8%[S:92.2%,D:1.6%],F:1.7%,M:4.5%,n:3640	VGP	PRJEB33882	NA	unknown	unknown	bony fish
Chanos chanos	GCA_902362175.1	NA	alt	SAMEA5159473	fChaCha1.1 alternate haplotype	508005	508005	2019-08-16	29144	species	GCA_902362175	1	[""Mugil chanos""]	NA	NA	NA	Chanos chanos	Chanos	Chanidae	Gonorynchiformes	Actinopteri	NA	NA	637484823	637484123	366	366	1940	1937	NA	1937	41.5	NA	NA	PRJEB33881;PRJEB33883;PRJNA489243;PRJNA533106	Scaffold	NA	NA	SC	NA	NA	NA	NA	NA	VGP	PRJEB33881	NA	unknown	unknown	bony fish
Acipenser ruthenus	GCA_902713425.2	GCF_902713425.1	pri	SAMEA5572864	fAciRut3.2 maternal haplotype	8776027	42723358	2022-02-02	7906	species	GCA_902713425	2	NA	NA	NA	NA	Acipenser ruthenus	Acipenser	Acipenseridae	Acipenseriformes	Actinopteri	NA	NA	1899794300	1899708000	65	12	2163	1730	60	1730	40	NA	NA	PRJEB35912;PRJEB35914;PRJNA489243;PRJNA533106	Chromosome	NA	representative genome	Wellcome Sanger Institute	80041	38165	NA	NA	NA	VGP	PRJEB35912	NA	unknown	unknown	bony fish
Acipenser ruthenus	GCA_902713435.2	NA	alt	SAMEA5572864	fAciRut3.2 paternal haplotype	8948077	42286699	2022-02-01	7906	species	GCA_902713435	2	NA	NA	NA	NA	Acipenser ruthenus	Acipenser	Acipenseridae	Acipenseriformes	Actinopteri	NA	96.37	1882648115	1882553115	68	12	1992	1517	60	1517	40	NA	NA	PRJEB35913;PRJEB35914;PRJNA489243;PRJNA533106	Chromosome	NA	NA	Wellcome Sanger Institute	NA	NA	NA	NA	NA	VGP	PRJEB35913	NA	unknown	unknown	bony fish
Gadus morhua	GCA_902167405.1	GCF_902167405.1	pri	SAMEA5574046	gadMor3.0	1015663	28732775	2019-07-16	8049	species	GCA_902167405	1	[""Gadus nanus""]	[""fGadMor""]	[""Atlantic cod""]	NA	Gadus morhua	Gadus	Gadidae	Gadiformes	Actinopteri	NA	NA	669949713	646375971	169	11	1441	226	23	226	44.07	3.52	NA	PRJEB33455;PRJEB33456;PRJNA489243;PRJNA533106	Chromosome	NA	representative genome	SC	33093	23485	92.7	actinopterygii_odb10	C:92.7%[S:91.8%,D:0.9%],F:1.8%,M:5.5%,n:3640	VGP	PRJEB33455	NA	unknown	unknown	bony fish
Gadus morhua	GCA_902167395.1	NA	alt	SAMEA5574046	gadMor3.0 alternate haplotype	278226	278683	2019-07-16	8049	species	GCA_902167395	1	[""Gadus nanus""]	[""fGadMor""]	[""Atlantic cod""]	NA	Gadus morhua	Gadus	Gadidae	Gadiformes	Actinopteri	NA	NA	584119146	584119071	622	621	3595	3592	NA	3592	45.55	0	NA	PRJEB33454;PRJEB33456;PRJNA489243;PRJNA533106	Scaffold	NA	NA	SC	NA	NA	87.60000000000001	actinopterygii_odb9	C:87.6%[S:84.8%,D:2.8%],F:3.6%,M:8.8%,n:4584	VGP	PRJEB33454	NA	unknown	unknown	bony fish
Rana temporaria	GCA_905171775.1	GCF_905171775.1	pri	SAMEA7521635	aRanTem1.1	6264810	481763206	2021-01-28	8407	species	GCA_905171775	1	[""Rana rufa""]	[""aRanTem""]	[""Frog, Common""]	NA	Rana temporaria	Rana	Ranidae	Anura	Amphibia	NA	NA	4111422596	4085228578	196	4	2411	554	13	554	43.88	0.64	NA	PRJEB40665;PRJEB42171;PRJEB42239;PRJEB43510;PRJNA489243;PRJNA533106	Chromosome	female	representative genome	Wellcome Sanger Institute	38300	23707	90.7	tetrapoda_odb10	C:90.7%[S:88.9%,D:1.8%],F:2.3%,M:6.9%,n:5310	VGP	PRJEB42171	NA	unknown	unknown	amphibian
Rana temporaria	GCA_905171725.1	NA	alt	SAMEA7521635	aRanTem1.1 alternate haplotype	547939	548370	2021-01-28	8407	species	GCA_905171725	1	NA	NA	NA	NA	Rana temporaria	Rana	Ranidae	Anura	Amphibia	NA	NA	3686210129	3686124341	1961	1960	12033	12019	NA	12019	44	NA	NA	PRJEB40665;PRJEB42170;PRJEB42239;PRJEB43510;PRJNA489243;PRJNA533106	Scaffold	female	NA	SC	NA	NA	NA	NA	NA	VGP	PRJEB42170	NA	unknown	unknown	amphibian
Bufo bufo	GCA_905171765.1	GCF_905171765.1	pri	SAMEA7521636	aBufBuf1.1	3959750	635713434	2021-01-28	8384	species	GCA_905171765	1	[""Rana rubeta""]	[""aBufBuf""]	[""Toad, Common""]	NA	Bufo bufo	Bufo	Bufonidae	Anura	Amphibia	NA	NA	5044744194	5034865963	350	4	5501	1306	11	1306	44.41	0.2	NA	PRJEB40665;PRJEB42168;PRJEB42238;PRJEB43510;PRJNA489243;PRJNA533106	Chromosome	male	representative genome	Wellcome Sanger Institute	32600	21517	90.1	tetrapoda_odb10	C:90.1%[S:88.5%,D:1.6%],F:3.2%,M:6.7%,n:5310	VGP	PRJEB42168	NA	unknown	unknown	amphibian
Bufo bufo	GCA_905171715.1	NA	alt	SAMEA7521636	aBufBuf1.1 alternate haplotype	241528	243161	2021-01-28	8384	species	GCA_905171715	1	[""Rana bufo""]	NA	NA	NA	Bufo bufo	Bufo	Bufonidae	Anura	Amphibia	NA	NA	3744894388	3744403109	4231	4191	24351	24195	NA	24195	44.5	NA	NA	PRJEB40665;PRJEB42169;PRJEB42238;PRJEB43510;PRJNA489243;PRJNA533106	Scaffold	male	NA	SC	NA	NA	NA	NA	NA	VGP	PRJEB42169	NA	unknown	unknown	amphibian
Pholis gunnellus	GCA_910591455.2	NA	pri	SAMEA7522838	fPhoGun1.2	3519450	25364761	2021-11-18	56726	species	GCA_910591455	2	[""Blennius muraenoides""]	[""fPhoGun""]	[""Rock gunnel""]	NA	Pholis gunnellus	Pholis	Pholidae	Perciformes	Actinopteri	NA	99.96	588680419	588543419	51	11	518	100	24	100	42.31	0.02	NA	PRJEB40665;PRJEB43510;PRJEB43809;PRJEB45449;PRJNA489243;PRJNA533106	Chromosome	NOT COLLECTED	representative genome	WELLCOME SANGER INSTITUTE	NA	NA	98.6	actinopterygii_odb10	C:98.6%[S:97.9%,D:0.8%],F:0.2%,M:1.1%,n:3640	VGP	PRJEB45449	NA	unknown	unknown	bony fish
Pholis gunnellus	GCA_910591705.2	NA	alt	SAMEA7522838	fPhoGun1.2 alternate haplotype	640680	640680	2021-11-18	56726	species	GCA_910591705	2	[""Blennius gunnellus""]	NA	NA	NA	Pholis gunnellus	Pholis	Pholidae	Perciformes	Actinopteri	NA	NA	590303236	590302736	252	252	2166	2165	NA	2165	42.5	NA	NA	PRJEB40665;PRJEB43510;PRJEB43809;PRJEB45448;PRJNA489243;PRJNA533106	Scaffold	NOT COLLECTED	NA	WELLCOME SANGER INSTITUTE	NA	NA	NA	NA	NA	VGP	PRJEB45448	NA	unknown	unknown	bony fish
Lipophrys pholis	GCA_963383615.1	NA	pri	SAMEA7522844	fLipPho2.1	3299550	31905247	2023-08-26	56720	species	GCA_963383615	1	[""Pholis carolinus""]	[""fLipPho""]	[""Shanny""]	NA	Lipophrys pholis	Lipophrys	Blenniidae	Blenniiformes	Actinopteri	NA	93.63	768226363	768106747	68	11	1444	846	23	846	42.08	0.02	NA	PRJEB40665;PRJEB43510;PRJEB64943;PRJEB65340;PRJNA489243;PRJNA533106	Chromosome	NOT COLLECTED	representative genome	WELLCOME SANGER INSTITUTE	NA	NA	97.5	actinopterygii_odb10	C:97.5%[S:96.8%,D:0.8%],F:0.7%,M:1.8%,n:3640	VGP	PRJEB65340	PacBio,Arima2	true	false	bony fish
Lipophrys pholis	GCA_963383635.1	NA	alt	SAMEA7522844	fLipPho2.1 alternate haplotype	453920	454010	2023-08-26	56720	species	GCA_963383635	1	[""Blennius pholis""]	NA	NA	NA	Lipophrys pholis	Lipophrys	Blenniidae	Blenniiformes	Actinopteri	NA	NA	738669690	738669656	445	444	3847	3846	NA	3846	42.5	NA	NA	PRJEB40665;PRJEB43510;PRJEB64943;PRJEB65341;PRJNA489243;PRJNA533106	Scaffold	NOT COLLECTED	NA	WELLCOME SANGER INSTITUTE	NA	NA	NA	NA	NA	VGP	PRJEB65341	PacBio,Arima2	true	false	bony fish
Taurulus bubalis	GCA_910589615.1	NA	pri	SAMEA7522994	fTauBub2.1	13037006	29138660	2021-07-07	61643	species	GCA_910589615	1	[""Taurulus bubalis""]	[""fTauBub""]	NA	NA	Taurulus bubalis	Taurulus	Cottidae	Perciformes	Actinopteri	NA	100	615137073	615059973	18	9	268	26	21	26	42.22	0.01	NA	PRJEB40665;PRJEB43510;PRJEB45118;PRJEB45317;PRJNA489243;PRJNA533106	Chromosome	NOT COLLECTED	representative genome	WELLCOME SANGER INSTITUTE	NA	NA	98.4	actinopterygii_odb10	C:98.4%[S:97.6%,D:0.8%],F:0.5%,M:1.1%,n:3640	VGP	PRJEB45317	NA	unknown	unknown	bony fish
Taurulus bubalis	GCA_910589325.1	NA	alt	SAMEA7522994	fTauBub2.1 alternate haplotype	883972	NA	2021-07-07	61643	species	GCA_910589325	1	[""Cottus bubalis""]	NA	NA	NA	Taurulus bubalis	Taurulus	Cottidae	Perciformes	Actinopteri	NA	NA	614755631	614755631	212	NA	1778	NA	NA	1778	42	NA	NA	PRJEB40665;PRJEB43510;PRJEB45118;PRJEB45316;PRJNA489243;PRJNA533106	Contig	NOT COLLECTED	NA	WELLCOME SANGER INSTITUTE	NA	NA	NA	NA	NA	VGP	PRJEB45316	NA	unknown	unknown	bony fish
