"","assembly_bio_sample_accession","scientific_name","assembly_id_pri","taxonomic_group","assemblyInfo_biosample_geoLocName","assemblyInfo_biosample_latLon","assemblyInfo_comments","geo_location","latlon","lat","lon"
"57","SAMEA112468124","Netta rufina","GCA_964035555.1","bird","United Kingdom",NA,"The assembly bNetRuf1.1 is based on 30x PacBio data and Arima2 Hi-C data generated by the Darwin Tree of Life Project
(https://www.darwintreeoflife.org/). The assembly process included the following sequence of steps: initial PacBio assembly generation with Hifiasm, retained haplotig separation with purge_dups, and Hi-C based scaffolding with YaHS. The mitochondrial genome was assembled using MitoHiFi. Finally, the primary assembly was analysed and manually improved using TreeVal. Chromosome-scale scaffolds confirmed by the Hi-C data have been named in order of size.","United Kingdom",NA,54.7023545,-3.2765753
"58","SAMEA112468126","Neogale vison","GCA_964106205.1","mammal","United Kingdom",NA,"The assembly mNeoVis2.hap2.1 is based on 44x PacBio data and Arima2 Hi-C data generated by the Darwin Tree of Life Project
(https://www.darwintreeoflife.org/). The assembly process included the following sequence of steps: initial PacBio assembly generation with Hifiasm in Hi-C integrated assembly mode, and Hi-C based scaffolding with YaHS. The mitochondrial genome was assembled using MitoHiFi. Finally, each haplotype assembly was analysed and manually improved using TreeVal. Chromosome-scale scaffolds confirmed by the Hi-C data have been named in order of size. This genome has been assembled using PacBio and HiC data and phased. The result is two curated haplotypes. Chromosome X was identified by synteny to GCF_020171115.1.","United Kingdom",NA,54.7023545,-3.2765753
"59","SAMEA112468127","Talpa europaea","GCA_964194135.1","mammal","United Kingdom",NA,"The assembly mTalEur1.hap1.1 is based on 30x PacBio data and Arima2 Hi-C data generated by the Darwin Tree of Life Project
(https://www.darwintreeoflife.org/). The assembly process included the following sequence of steps: initial PacBio assembly generation with Hifiasm in Hi-C integrated assembly mode, and Hi-C based scaffolding with YaHS. The mitochondrial genome was assembled using MitoHiFi. Finally, each haplotype assembly was analysed and manually improved using TreeVal. Chromosome-scale scaffolds confirmed by the Hi-C data have been named in order of size. Chromosome X was assigned based on synteny to GCA_950295315.1","United Kingdom",NA,54.7023545,-3.2765753
"60","SAMEA112651403","Bombina variegata","GCA_964205295.1","amphibian","Poland",NA,"The assembly aBomVar4.maternal.1 is based on 26x PacBio data and Arima2 Hi-C data generated by the Wellcome Sanger Institute Tree of Life Programme (https://www.sanger.ac.uk/programme/tree-of-life/). The assembly process included the following sequence of steps: initial PacBio assembly generation with Hifiasm in 'trio' mode using k-mers from the Illumina-sequenced parents, and Hi-C based scaffolding of each haplotype separately with YaHS. The mitochondrial genome was assembled using MitoHiFi. Finally, each haplotype assembly was analysed and manually improved using TreeVal. Chromosome-scale scaffolds confirmed by the Hi-C data have been named in order of size.","Poland",NA,52.215933,19.134422
"61","SAMEA112693994","Numenius arquata","GCA_964106895.1","bird","Ireland",NA,"The assembly bNumArq3.hap1.1 is based on 45x PacBio data and Arima2 Hi-C data generated by the Darwin Tree of Life Project
(https://www.darwintreeoflife.org/). The assembly process included the following sequence of steps: initial PacBio assembly generation with Hifiasm in Hi-C integrated assembly mode, and Hi-C based scaffolding with YaHS. The mitochondrial genome was assembled using MitoHiFi. Finally, each haplotype assembly was analysed and manually improved using TreeVal. Chromosome-scale scaffolds confirmed by the Hi-C data have been named in order of size.","Ireland",NA,52.865196,-7.9794599
"62","SAMEA112765695","Echiichthys vipera","GCA_963691815.1","ray-finned fish","United Kingdom",NA,"The assembly fEchVip8.1 is based on 34x PacBio data and Arima2 Hi-C data generated by the Darwin Tree of Life Project
(https://www.darwintreeoflife.org/). The assembly process included the following sequence of steps: initial PacBio assembly generation with Hifiasm, retained haplotig separation with purge_dups, and Hi-C based scaffolding with YaHS. The mitochondrial genome was assembled using MitoHiFi. Finally, the primary assembly was analysed and manually improved using rapid curation. Chromosome-scale scaffolds confirmed by the Hi-C data have been named in order of size. Two half coverage putative sex chromosomes chromosomes were observed and provisionally named X and Y. However, the sample used for genome assembly was of unknown sex and so the sex determination system could be ZW instead of XY. A literature search did not recover information on the sex determination system for this species. It should also be noted that a previous cytological study (https://doi.org/10.1159/000076302) did not identify heteromorphic sex chromosomes in this species.","United Kingdom",NA,54.7023545,-3.2765753
"63","SAMEA112765706","Limanda limanda","GCA_963576545.1","ray-finned fish",NA,NA,NA,NA,NA,NA,NA
"64","SAMEA112788961","Blennius ocellaris","GCA_963422515.1","ray-finned fish","United Kingdom",NA,"The assembly fBleOce1.1 is based on 30x PacBio data and Arima2 Hi-C data generated by the Darwin Tree of Life Project
(https://www.darwintreeoflife.org/). The assembly process included the following sequence of steps: initial PacBio assembly generation with Hifiasm, retained haplotig separation with purge_dups, and Hi-C based scaffolding with YaHS. The mitochondrial genome was assembled using MitoHiFi. Finally, the primary assembly was analysed and manually improved using rapid curation. Chromosome-scale scaffolds confirmed by the Hi-C data have been named in order of size.","United Kingdom",NA,54.7023545,-3.2765753
"65","SAMEA112818853","Rhamphochromis sp. 'chilingali'","GCA_963969265.1","ray-finned fish","United Kingdom",NA,"The assembly fRhaChi2.1 is based on 64x PacBio data and Arima2 Hi-C data generated by the Darwin Tree of Life Project
(https://www.darwintreeoflife.org/). The assembly process included the following sequence of steps: initial PacBio assembly generation with Hifiasm, retained haplotig separation with purge_dups, and Hi-C based scaffolding with YaHS. The mitochondrial genome was assembled using MitoHiFi. Finally, the primary assembly was analysed and manually improved using TreeVal. Chromosome-scale scaffolds confirmed by the Hi-C data have been named in order of size.","United Kingdom",NA,54.7023545,-3.2765753
"66","SAMEA112840270","Rangifer tarandus platyrhynchus","GCA_949782905.1","mammal","Norway",NA,"This project provides the genome assembly of Rangifer tarandus platyrhynchus, common name Svalbard reindeer, a subspecies of reindeer, based on a sample provided by Vebjorn Veiberg. The assembly is provided by EBP-Nor (https://www.ebpnor.org/). The assembly mRanTar1.h1.1 is based on 32x PacBio HiFi data, 56x Arima Hi-C data and generated by the EBP-Nor project. The assembly was filtered for adapters with HiFiAdapterFilt., assembled with hifiasm together with Hi-C data to generate a pair of haplotype-resolved assemblies. K-mers from the two assemblies were used to filter Hi-C reads to get two sets of reads to scaffold the assemblies (reads used to scaffold hap1 did not contain k-mers unique to hap2). YaHS was used for scaffolding. FCS-adaptor was used to remove putative adapters, before putative contaminants were removed with FCS-GX. No mitochondrial genomes were found in the data, so NC_007703.1 was added to hap1 for completeness. Both X and Y chromosomes are found in hap1. The chromosomes confirmed by Hi-C data have been named in order of size.","Norway",NA,64.5731537,11.5280364
"67","SAMEA112864454","Somateria mollissima","GCA_951411735.1","bird","Norway",NA,"This project provides the genome assembly of Somateria mollissima, common name common eider, based on a sample provided by Morten Helberg. The assembly is provided by EBP-Nor (https://www.ebpnor.org/). The assembly bSomMol1.h1.1 is based on 36x PacBio HiFi data, 52x Arima Hi-C data and generated by the EBP-Nor project. The assembly was filtered for adapters with HiFiAdapterFilt., assembled with hifiasm together with Hi-C data to generate a pair of haplotype-resolved assemblies. K-mers from the two assemblies were used to filter Hi-C reads to get two sets of reads to scaffold the assemblies (reads used to scaffold hap1 did not contain k-mers unique to hap2). YaHS was used for scaffolding. FCS-adaptor was used to remove putative adapters, before putative contaminants were removed with FCS-GX. No mitochondrial genomes were found in the data. Both W and Z chromosomes are found in hap1. The chromosomes confirmed by Hi-C data have been named in order of size.","Norway",NA,64.5731537,11.5280364
"68","SAMEA11296536","Abramis brama","GCA_963993115.1","ray-finned fish","United Kingdom",NA,"The assembly fAbrBra2.1 is based on 44x PacBio data and Arima2 Hi-C data generated by the Darwin Tree of Life Project
(https://www.darwintreeoflife.org/). The assembly process included the following sequence of steps: initial PacBio assembly generation with Hifiasm, retained haplotig separation with purge_dups, and Hi-C based scaffolding with YaHS. The mitochondrial genome was assembled using MitoHiFi. Finally, the primary assembly was analysed and manually improved using TreeVal. Chromosome-scale scaffolds confirmed by the Hi-C data have been named in order of size.","United Kingdom",NA,54.7023545,-3.2765753
"69","SAMEA11296538","Gobio gobio","GCA_949357685.1","ray-finned fish","United Kingdom",NA,"The assembly fGobGob1.1 is based on 34x PacBio data and Arima2 Hi-C data generated by the Darwin Tree of Life Project
(https://www.darwintreeoflife.org/). The assembly process included the following sequence of steps: initial PacBio assembly generation with Hifiasm, retained haplotig separation with purge_dups, and Hi-C based scaffolding with YaHS. The mitochondrial genome was assembled using MitoHiFi. Finally, the primary assembly was analysed and manually improved using rapid curation. Chromosome-scale scaffolds confirmed by the Hi-C data have been named in order of size.","United Kingdom",NA,54.7023545,-3.2765753
"70","SAMEA11296540","Barbatula barbatula","GCA_947034865.1","ray-finned fish","United Kingdom",NA,"The assembly fBarBar1.1 is based on 30x PacBio data and Arima2 Hi-C data generated by the Darwin Tree of Life Project
(https://www.darwintreeoflife.org/). The assembly process included the following sequence of steps: initial PacBio assembly generation with Hifiasm, retained haplotig separation with purge_dups, and Hi-C based scaffolding with YaHS. The mitochondrial genome was assembled using MitoHiFi. Finally, the primary assembly was analysed and manually improved using rapid curation. Chromosome-scale scaffolds confirmed by the Hi-C data have been named in order of size. Region of undetermined order and orientation in Chromosome 4 12,000 Kbp - 23,500 Kbp.","United Kingdom",NA,54.7023545,-3.2765753
"71","SAMEA11296541","Scardinius erythrophthalmus","GCA_964197995.1","ray-finned fish","United Kingdom",NA,"The assembly fScaEry2.hap1.1 is based on 69x PacBio data and Arima2 Hi-C data generated by the Darwin Tree of Life Project
(https://www.darwintreeoflife.org/). The assembly process included the following sequence of steps: initial PacBio assembly generation with Hifiasm in Hi-C integrated assembly mode, and Hi-C based scaffolding with YaHS. The mitochondrial genome was assembled using MitoHiFi. Finally, each haplotype assembly was analysed and manually improved using TreeVal. Chromosome-scale scaffolds confirmed by the Hi-C data have been named in order of size.","United Kingdom",NA,54.7023545,-3.2765753
"72","SAMEA11296545","Pungitius pungitius","GCA_949316345.1","ray-finned fish",NA,NA,NA,NA,NA,NA,NA
"73","SAMEA113398833","Anas platyrhynchos","GCA_964188345.1","bird","United Kingdom",NA,"The assembly bAnaPla2.hap1.1 is based on 65x PacBio data and Arima2 Hi-C data generated by the Darwin Tree of Life Project
(https://www.darwintreeoflife.org/). The assembly process included the following sequence of steps: initial PacBio assembly generation with Hifiasm in Hi-C integrated assembly mode, and Hi-C based scaffolding with YaHS. The mitochondrial genome was assembled using MitoHiFi. Finally, each haplotype assembly was analysed and manually improved using TreeVal. Chromosome-scale scaffolds confirmed by the Hi-C data have been named in order of size.","United Kingdom",NA,54.7023545,-3.2765753
"74","SAMEA113398837","Grus grus","GCA_964106855.1","bird","United Kingdom",NA,"The assembly bGruGru1.hap1.1 is based on 48x PacBio data and Arima2 Hi-C data generated by the Darwin Tree of Life Project
(https://www.darwintreeoflife.org/). The assembly process included the following sequence of steps: initial PacBio assembly generation with Hifiasm in Hi-C integrated assembly mode, and Hi-C based scaffolding with YaHS. The mitochondrial genome was assembled using MitoHiFi. Finally, each haplotype assembly was analysed and manually improved using TreeVal. Chromosome-scale scaffolds confirmed by the Hi-C data have been named in order of size. Z chromosome identified based on synteny with Grus americana (GCF_028858705.1)","United Kingdom",NA,54.7023545,-3.2765753
"75","SAMEA113398840","Vulpes vulpes","GCA_964106925.2","mammal","United Kingdom",NA,"The assembly mVulVul1.hap2.2 is based on 28x PacBio data and Arima2 Hi-C data generated by the Darwin Tree of Life Project
(https://www.darwintreeoflife.org/). The assembly process included the following sequence of steps: initial PacBio assembly generation with Hifiasm in Hi-C integrated assembly mode, and Hi-C based scaffolding with YaHS. The mitochondrial genome was assembled using MitoHiFi. Finally, each haplotype assembly was analysed and manually improved using TreeVal. Chromosome-scale scaffolds confirmed by the Hi-C data have been named in order of size. This genome has been assembled using PacBio and HiC data and phased. The result is two curated haplotypes. Chromosome X was assigned by HiC signal.","United Kingdom",NA,54.7023545,-3.2765753
"76","SAMEA113398854","Anser anser","GCA_964211835.1","bird","United Kingdom",NA,"The assembly bAnsAns1.hap1.1 is based on 56x PacBio data and Arima2 Hi-C data generated by the Darwin Tree of Life Project
(https://www.darwintreeoflife.org/). The assembly process included the following sequence of steps: initial PacBio assembly generation with Hifiasm in Hi-C integrated assembly mode, and Hi-C based scaffolding with YaHS. The mitochondrial genome was assembled using MitoHiFi. Finally, each haplotype assembly was analysed and manually improved using TreeVal. Chromosome-scale scaffolds confirmed by the Hi-C data have been named in order of size. Chromosomes Z and W were identified by read coverage.","United Kingdom",NA,54.7023545,-3.2765753
"77","SAMEA113398958","Gallinula chloropus","GCA_964237585.1","bird","United Kingdom",NA,"The assembly bGalChl1.hap1.1 is based on 44x PacBio data and Arima2 Hi-C data generated by the Darwin Tree of Life Project
(https://www.darwintreeoflife.org/). The assembly process included the following sequence of steps: initial PacBio assembly generation with Hifiasm in Hi-C integrated assembly mode, and Hi-C based scaffolding with YaHS. The mitochondrial genome was assembled using MitoHiFi. Finally, each haplotype assembly was analysed and manually improved using TreeVal. Chromosome-scale scaffolds confirmed by the Hi-C data have been named in order of size.","United Kingdom",NA,54.7023545,-3.2765753
"78","SAMEA113902670","Cetorhinus maximus","GCA_964194155.1","cartilaginous fish","United Kingdom",NA,"The assembly sCetMax3.hap1.1 is based on 34x PacBio data and Arima2 Hi-C data generated by the Darwin Tree of Life Project
(https://www.darwintreeoflife.org/). The assembly process included the following sequence of steps: initial PacBio assembly generation with Hifiasm in Hi-C integrated assembly mode, and Hi-C based scaffolding with YaHS. The mitochondrial genome was assembled using MitoHiFi. Finally, each haplotype assembly was analysed and manually improved using TreeVal. Chromosome-scale scaffolds confirmed by the Hi-C data have been named in order of size. Chromosome X was assigned by synteny to Carcharodon carcharias","United Kingdom",NA,54.7023545,-3.2765753
"79","SAMEA113980738","Miniopterus schreibersii","GCA_964146895.1","mammal","Cyprus",NA,"The assembly mMinSch1.hap1.1 is based on 37x PacBio data and Arima2 Hi-C data generated by the Darwin Tree of Life Project
(https://www.darwintreeoflife.org/). The assembly process included the following sequence of steps: initial PacBio assembly generation with Hifiasm in Hi-C integrated assembly mode, and Hi-C based scaffolding with YaHS. The mitochondrial genome was assembled using MitoHiFi. Finally, each haplotype assembly was analysed and manually improved using TreeVal. Chromosome-scale scaffolds confirmed by the Hi-C data have been named in order of size.","Cyprus",NA,34.9174159,32.8899027
"80","SAMEA113980802","Rhinolophus hipposideros","GCA_964194185.1","mammal","Cyprus",NA,"The assembly mRhiHip2.hap1.1 is based on 39x PacBio data and Arima2 Hi-C data generated by the Darwin Tree of Life Project
(https://www.darwintreeoflife.org/). The assembly process included the following sequence of steps: initial PacBio assembly generation with Hifiasm in Hi-C integrated assembly mode, and Hi-C based scaffolding with YaHS. The mitochondrial genome was assembled using MitoHiFi. Finally, each haplotype assembly was analysed and manually improved using TreeVal. Chromosome-scale scaffolds confirmed by the Hi-C data have been named in order of size. X chromosome identified based on synteny with Eptesicus nilssonii (GCA_951640355.1).","Cyprus",NA,34.9174159,32.8899027
"81","SAMEA114211328","Larus michahellis","GCA_964199755.1","bird","Switzerland",NA,"The assembly bLarMic1.1 is based on 68x PacBio data and Arima2 Hi-C data generated by the Darwin Tree of Life Project
(https://www.darwintreeoflife.org/). The assembly process included the following sequence of steps: initial PacBio assembly generation with Hifiasm, retained haplotig separation with purge_dups, and Hi-C based scaffolding with YaHS. The mitochondrial genome was assembled using MitoHiFi. Finally, the primary assembly was analysed and manually improved using TreeVal. Chromosome-scale scaffolds confirmed by the Hi-C data have been named in order of size. Chromosomes Z and W were identified using read coverage.","Switzerland",NA,46.7985624,8.2319736
"82","SAMEA114217796","Podarcis gaigeae","GCA_964106915.1","reptile","Greece",NA,"The assembly rPodGai1.hap1.1 is based on 44x PacBio data and Arima2 Hi-C data generated by the Wellcome Sanger Institute Tree of Life Programme (https://www.sanger.ac.uk/programme/tree-of-life/). The assembly process included the following sequence of steps: initial PacBio assembly generation with Hifiasm in Hi-C integrated assembly mode, and Hi-C based scaffolding with YaHS. The mitochondrial genome was assembled using MitoHiFi. Finally, each haplotype assembly was analysed and manually improved using TreeVal. Chromosome-scale scaffolds confirmed by the Hi-C data have been named in order of size.","Greece",NA,38.9953683,21.9877132
"83","SAMEA114217797","Podarcis pityusensis","GCA_964106635.2","reptile","Spain",NA,"The assembly rPodPit1.hap2.2 is based on 23x PacBio data and Arima2 Hi-C data generated by the Wellcome Sanger Institute Tree of Life Programme (https://www.sanger.ac.uk/programme/tree-of-life/). The assembly process included the following sequence of steps: initial PacBio assembly generation with Hifiasm in Hi-C integrated assembly mode, and Hi-C based scaffolding with YaHS. The mitochondrial genome was assembled using MitoHiFi. Finally, each haplotype assembly was analysed and manually improved using TreeVal. Chromosome-scale scaffolds confirmed by the Hi-C data have been named in order of size. Sex chromosomes were assigned by synteny to Podarcis raffonei (GCA_027172205.1) and by PacBio reads coverage observed in the HiC map.","Spain",NA,39.3260685,-4.8379791
"84","SAMEA114250307","Myotis mystacinus","GCA_964094495.2","mammal","United Kingdom",NA,"The assembly mMyoMys1.hap1.1 is based on 46x PacBio data and Arima2 Hi-C data generated by the Darwin Tree of Life Project
(https://www.darwintreeoflife.org/). The assembly process included the following sequence of steps: initial PacBio assembly generation with Hifiasm in Hi-C integrated assembly mode, and Hi-C based scaffolding with YaHS. The mitochondrial genome was assembled using MitoHiFi. Finally, each haplotype assembly was analysed and manually improved using TreeVal. Chromosome-scale scaffolds confirmed by the Hi-C data have been named in order of size. Chromosomes X and Y were assigned based on read coverage and HIC data.","United Kingdom",NA,54.7023545,-3.2765753
"85","SAMEA114293681","Vipera berus","GCA_964194415.1","reptile","United Kingdom",NA,"The assembly rVipBer3.hap1.1 is based on 61x PacBio data and Arima2 Hi-C data generated by the Darwin Tree of Life Project
(https://www.darwintreeoflife.org/). The assembly process included the following sequence of steps: initial PacBio assembly generation with Hifiasm in Hi-C integrated assembly mode, and Hi-C based scaffolding with YaHS. The mitochondrial genome was assembled using MitoHiFi. Finally, each haplotype assembly was analysed and manually improved using TreeVal. Chromosome-scale scaffolds confirmed by the Hi-C data have been named in order of size. Chromosomes Z and W were assigned by read coverage statistics and HiC signal","United Kingdom",NA,54.7023545,-3.2765753
"86","SAMEA114294356","Calonectris borealis","GCA_964196065.2","bird","Spain",NA,"The assembly bCalBor7.hap2.2 is based on 66x PacBio data and Arima2 Hi-C data generated by the Darwin Tree of Life Project
(https://www.darwintreeoflife.org/). The assembly process included the following sequence of steps: initial PacBio assembly generation with Hifiasm in Hi-C integrated assembly mode, and Hi-C based scaffolding with YaHS. The mitochondrial genome was assembled using MitoHiFi. Finally, each haplotype assembly was analysed and manually improved using TreeVal. Chromosome-scale scaffolds confirmed by the Hi-C data have been named in order of size.","Spain",NA,39.3260685,-4.8379791
"87","SAMEA114298637","Mustelus asterias","GCA_964213995.1","cartilaginous fish","United Kingdom",NA,"The assembly sMusAst1.hap1.1 is based on 35x PacBio data and Arima2 Hi-C data generated by the Darwin Tree of Life Project
(https://www.darwintreeoflife.org/). The assembly process included the following sequence of steps: initial PacBio assembly generation with Hifiasm in Hi-C integrated assembly mode, and Hi-C based scaffolding with YaHS. The mitochondrial genome was assembled using MitoHiFi. Finally, each haplotype assembly was analysed and manually improved using TreeVal. Chromosome-scale scaffolds confirmed by the Hi-C data have been named in order of size. Chromosome X was identified by HiC and read coverage statistics. No Y chromosome could be confidently identified and likely remains in the unplaced scaffolds. Chromosome 30 is likely much larger but shattered, many contigs that likely belong in Chromosome 30 were left in the unplaced scaffolds as they could not be accurately placed.","United Kingdom",NA,54.7023545,-3.2765753
"88","SAMEA114594453","Buteo buteo","GCA_964188355.1","bird","United Kingdom",NA,"The assembly bButBut1.hap1.1 is based on 56x PacBio data and Arima2 Hi-C data generated by the Darwin Tree of Life Project
(https://www.darwintreeoflife.org/). The assembly process included the following sequence of steps: initial PacBio assembly generation with Hifiasm in Hi-C integrated assembly mode, and Hi-C based scaffolding with YaHS. The mitochondrial genome was assembled using MitoHiFi. Finally, each haplotype assembly was analysed and manually improved using TreeVal. Chromosome-scale scaffolds confirmed by the Hi-C data have been named in order of size. Homogametic sex, ZZ. Chromosome Z was identified and assigned by synteny to GCA_028022735.1.","United Kingdom",NA,54.7023545,-3.2765753
"89","SAMEA114614248","Myotis nattereri","GCA_964212035.1","mammal","France",NA,"The assembly mMyoNat1.hap1.1 is based on 42x PacBio data and Arima2 Hi-C data generated by the Darwin Tree of Life Project
(https://www.darwintreeoflife.org/). The assembly process included the following sequence of steps: initial PacBio assembly generation with Hifiasm in Hi-C integrated assembly mode, and Hi-C based scaffolding with YaHS. The mitochondrial genome was assembled using MitoHiFi. Finally, each haplotype assembly was analysed and manually improved using TreeVal. Chromosome-scale scaffolds confirmed by the Hi-C data have been named in order of size. The order and orientation of contigs along the Y chromosome between 4.8 Mb and 31.4 Mb is uncertain.","France",NA,46.603354,1.8883335
"90","SAMEA114653171","Pipistrellus nathusii","GCA_963693515.1","mammal","Latvia",NA,NA,"Latvia",NA,56.8406494,24.7537645
"91","SAMEA115336769","Podarcis bocagei","GCA_964188305.1","reptile","Portugal",NA,"The assembly rPodBoc1.hap1.1 is based on 30x PacBio data and Arima2 Hi-C data generated by the Wellcome Sanger Institute Tree of Life Programme (https://www.sanger.ac.uk/programme/tree-of-life/). The assembly process included the following sequence of steps: initial PacBio assembly generation with Hifiasm in Hi-C integrated assembly mode, and Hi-C based scaffolding with YaHS. The mitochondrial genome was assembled using MitoHiFi. Finally, each haplotype assembly was analysed and manually improved using TreeVal. Chromosome-scale scaffolds confirmed by the Hi-C data have been named in order of size. Chromosomes Z and W were assigned based on HiC data and read coverage statistics. The order and orientation of the contigs making up Chromosome W are uncertain and some may remain in the unplaced scaffolds.","Portugal",NA,39.6621648,-8.1353519
"92","SAMEA115336771","Podarcis erhardii","GCA_964252035.1","reptile","Greece",NA,"The assembly rPodErh1.hap1.1 is based on 34x PacBio data and Arima2 Hi-C data generated by the Wellcome Sanger Institute Tree of Life Programme (https://www.sanger.ac.uk/programme/tree-of-life/). The assembly process included the following sequence of steps: initial PacBio assembly generation with Hifiasm in Hi-C integrated assembly mode, and Hi-C based scaffolding with YaHS. The mitochondrial genome was assembled using MitoHiFi. Finally, each haplotype assembly was analysed and manually improved using TreeVal. Chromosome-scale scaffolds confirmed by the Hi-C data have been named in order of size. sex chromosomes ZW were identified by ploidy and read coverage","Greece",NA,38.9953683,21.9877132
"93","SAMEA115336774","Podarcis siculus","GCA_964188175.1","reptile","Italy",NA,"The assembly rPodSic1.hap1.1 is based on 45x PacBio data and Arima2 Hi-C data generated by the Wellcome Sanger Institute Tree of Life Programme (https://www.sanger.ac.uk/programme/tree-of-life/). The assembly process included the following sequence of steps: initial PacBio assembly generation with Hifiasm in Hi-C integrated assembly mode, and Hi-C based scaffolding with YaHS. The mitochondrial genome was assembled using MitoHiFi. Finally, each haplotype assembly was analysed and manually improved using TreeVal. Chromosome-scale scaffolds confirmed by the Hi-C data have been named in order of size. Chromosomes Z and W were assigned based on read coverage and HiC signal.","Italy",NA,42.6384261,12.674297
"94","SAMEA115336775","Podarcis melisellensis","GCA_964234825.1","reptile","Croatia",NA,"The assembly rPodMel1.hap2.1 is based on 41x PacBio data and Arima2 Hi-C data generated by the Wellcome Sanger Institute Tree of Life Programme (https://www.sanger.ac.uk/programme/tree-of-life/). The assembly process included the following sequence of steps: initial PacBio assembly generation with Hifiasm in Hi-C integrated assembly mode, and Hi-C based scaffolding with YaHS. The mitochondrial genome was assembled using MitoHiFi. Finally, each haplotype assembly was analysed and manually improved using TreeVal. Chromosome-scale scaffolds confirmed by the Hi-C data have been named in order of size.","Croatia",NA,45.3658443,15.6575209
"95","SAMEA115336776","Podarcis muralis","GCA_964188315.1","reptile","Italy",NA,"The assembly rPodMur119.hap1.1 is based on 46x PacBio data and Arima2 Hi-C data generated by the Wellcome Sanger Institute Tree of Life Programme (https://www.sanger.ac.uk/programme/tree-of-life/). The assembly process included the following sequence of steps: initial PacBio assembly generation with Hifiasm in Hi-C integrated assembly mode, and Hi-C based scaffolding with YaHS. The mitochondrial genome was assembled using MitoHiFi. Finally, each haplotype assembly was analysed and manually improved using TreeVal. Chromosome-scale scaffolds confirmed by the Hi-C data have been named in order of size. Chromosomes Z and W were assigned by read coverage statistics","Italy",NA,42.6384261,12.674297
"96","SAMEA12110019","Podarcis cretensis","GCA_951804945.1","reptile","Greece",NA,"The assembly rPodCre2.1 is based on 27x PacBio data and Arima2 Hi-C data generated by the Wellcome Sanger Institute Tree of Life Programme (https://www.sanger.ac.uk/programme/tree-of-life/) as part of the European Reference Genome Atlas pilot project
(https://www.erga-biodiversity.eu/pilot-project). The assembly process included the following sequence of steps: initial PacBio assembly generation with Hifiasm, retained haplotig separation with purge_dups, and Hi-C based scaffolding with YaHS. The mitochondrial genome was assembled using MitoHiFi. Finally, the primary assembly was analysed and manually improved using rapid curation. This alternate haplotype assembly combines the haplotigs separated by purge_dups with haplotigs separated from the primary assembly during curation. Chromosome Z was assigned based on synteny to GCA_014706415.1","Greece",NA,38.9953683,21.9877132
"97","SAMEA12219431","Conger conger","GCA_963514075.1","ray-finned fish",NA,NA,NA,NA,NA,NA,NA
"98","SAMEA12219470","Microchirus variegatus","GCA_963457635.1","ray-finned fish","United Kingdom",NA,"The assembly fMicVar1.1 is based on 36x PacBio data and Arima2 Hi-C data generated by the Darwin Tree of Life Project
(https://www.darwintreeoflife.org/). The assembly process included the following sequence of steps: initial PacBio assembly generation with Hifiasm, retained haplotig separation with purge_dups, and Hi-C based scaffolding with YaHS. The mitochondrial genome was assembled using MitoHiFi. Finally, the primary assembly was analysed and manually improved using rapid curation. Chromosome-scale scaffolds confirmed by the Hi-C data have been named in order of size.","United Kingdom",NA,54.7023545,-3.2765753
"99","SAMEA12219485","Symphodus melops","GCA_947650265.1","ray-finned fish","United Kingdom",NA,"The assembly fSymMel2.1 is based on 32x PacBio data and Arima2 Hi-C data generated by the Darwin Tree of Life Project
(https://www.darwintreeoflife.org/). The assembly process included the following sequence of steps: initial PacBio assembly generation with Hifiasm, retained haplotig separation with purge_dups, and Hi-C based scaffolding with YaHS. The mitochondrial genome was assembled using MitoHiFi. Finally, the primary assembly was analysed and manually improved using rapid curation. Chromosome-scale scaffolds confirmed by the Hi-C data have been named in order of size. GOAT synteny (n=24) incorrect. Observed karyotype (n=23) matches cytometry results here:
https://www.researchgate.net/profile/Guillermo-Thode/publication/237187799_ Karyotype_divergence_in_Symphodus_melops_and_Symphodus_roissali_Labridae_Pe rciforms_C-banded_and_Ag-NOR_karyotypes/links/0c96051f2307708a8e000000/Kary otype-divergence-in-Symphodus-melops-and-Symphodus-roissali-Labridae-Percif orms-C-banded-and-Ag-NOR-karyotypes.pdf","United Kingdom",NA,54.7023545,-3.2765753
"100","SAMEA12595289","Silurus aristotelis","GCA_946808225.1","ray-finned fish","Greece",NA,"The assembly fSilAri3.1 is based on 26x PacBio data and Arima2 Hi-C data generated by the Wellcome Sanger Institute Tree of Life Programme (https://www.sanger.ac.uk/programme/tree-of-life/) as part of the European Reference Genome Atlas pilot project
(https://www.erga-biodiversity.eu/pilot-project). The assembly process included the following sequence of steps: initial PacBio assembly generation with Hifiasm, retained haplotig separation with purge_dups, and Hi-C based scaffolding with YaHS. The mitochondrial genome was assembled using MitoHiFi. Finally, the primary assembly was analysed and manually improved using rapid curation. This alternate haplotype assembly combines the haplotigs separated by purge_dups with haplotigs separated from the primary assembly during curation.","Greece",NA,38.9953683,21.9877132
